incident_id;datum_tijd;datum;tijd;jaar;maand;maand_name;seizoen_meteorologisch;minuut_van_dag;uur;minuut_van_uur;inrichting;inrichting_schoon;stof;hoeveelheid_stof;toelichting;opkomst;ondergang;opkomst_minutes;ondergang_minutes;daglicht_uren;is_licht;is_donker;uren_van_zonsopkomst;uren_van_zonsondergang;uren_van_zonsopkomst_rond;uren_van_zonsondergang_rond;onderhoud_kandidaat_kern;onderhoud_kandidaat_extra
641;2024-12-31T01:34:00Z;2024-12-31;02:34:00;2024;12;Dec;Winter;154;2;34;Tata Steel IJmuiden B.V. (GSL) Grondstoffenlogistiek;Grondstoffenlogistiek;Erts/ kolenstof;0 kg (was 1 kg);Melknr. 325869 Omschrijving: MILIEU INSTALLATIE UIT BEDRIJF (STOBES/ MILIEUSPROEIERS) Melding afgesloten 04-03-2025 11:47 uitgevoerd, oorzaak bekend (t.k.a.) Melding nog in behandeling Waarneming: Sproei paal G89 Oorzaak: Deze uit bedrijf genomen omdat de steunen van de sproeipaal uit fundering zijn en er lekkages is ontstaan Maatregel: Het inzet van een waterwagen om het veld nat te houden AANVULLING 03:20 UUR Oorzaak Deze uit bedrijf genomen omdat de steunen voor een deel uit fundering zijn en er is geen ondergronds lekkages AANVULLING 09- 01-2025 Hoeveelheid aangepast van 1 kg naar 0 kg AANVULLING 04-03-2025 02:18 UUR Maatregel: Paal is gewoon in bedrijf.;08:48:00;16:38:00;528;998;7,83333333333333;FALSE;TRUE;-6,2333333333333334;-14,0666666666666664;-6;-14;FALSE;TRUE
642;2024-12-31T08:27:00Z;2024-12-31;09:27:00;2024;12;Dec;Winter;567;9;27;Tata Steel IJmuiden B.V. (GSL) Grondstoffenlogistiek;Grondstoffenlogistiek;Pelletstof;0 kg;Melknummer :325872 MILIEU INSTALLATIE UIT BEDRIJF (OVERIGE) Melding nog in behandeling Waarneming Nevel installatie uitgevoerd, oorzaak bekend (t.k.a.) autoverlading Pellet fabriek uit bedrijf. Oorzaak Door de lage buiten temperatuur is de installatie in vorst beveiliging gegaan. Maatregel De nevel installatie van de pellet fabriek zelf staat bij. AANVULLING 09-01-2025 Maatregel: systeem op 01-01 weer in bedrijf genomen Hoeveelheid aangepast van 1 kg naar 0 kg Melding afgesloten 09-01-2025 22:34;08:48:00;16:38:00;528;998;7,83333333333333;TRUE;FALSE;0,6500000000000000;-7,1833333333333336;1;-7;FALSE;TRUE
643;2024-12-31T14:50:00Z;2024-12-31;15:50:00;2024;12;Dec;Winter;950;15;50;Tata Steel IJmuiden B.V. (HOO) Hoogovens;Hoogovens;Hoogovengasstof;5 kg;Melknummer 325877 STILSTANDSKLEP OPEN Melding afgesloten 31-12-2024 19:26 Waarneming Stilstandsklep HO7 open Oorzaak uitgevoerd, oorzaak bekend (t.k.a.) Update 31-12-2024 : Stilzetten HO7 Maatregel Update 31-12-2024 : Standaard mannier van werken. Geen extra maatregelen getroffen.;08:48:00;16:38:00;528;998;7,83333333333333;TRUE;FALSE;7,0333333333333332;-0,8000000000000000;7;-1;FALSE;TRUE
644;2024-12-31T18:45:00Z;2024-12-31;19:45:00;2024;12;Dec;Winter;1185;19;45;Tata Steel IJmuiden B.V. (sifa) Sinterfabriek;Sinterfabriek;Rookgas;58298 m3;Melk Nr. 325881 CALAMITEITEN BEDRIJF (OVERSCHAKELEN OP SCHOORSTEENBEDRIJF) Melding afgesloten 07-01-2025 13:56 uitgevoerd, oorzaak bekend (t.k.a.) Waarneming De Rookgasreiniging is uitgevallen tijdens het in bedrijf nemen van een filterkamer. Hierdoor zijn de Trimkleppen van alle 3 de sintermachines open gegaan waardoor wij op de schoorsteen staan. Oorzaak Onbekend, onderzoek volgt nog. Tijdens inbedrijf nemen FK23xx is er een signaal van de Deur beveiliging Filterkamer niet binnen gekomen waardoor bij bijschakelen de beveiliging in werking trad Maatregel De storingsdienst heeft klemmen strook nagelopen kwam slechte verbinding tegen deze verholpen en daarna weer inbedrijf 02- 01: bovenstaande problemen in ere hersteld en uitgetest en volledig in orde bevonden. Doorgegeven aan om: 20:05;08:48:00;16:38:00;528;998;7,83333333333333;FALSE;TRUE;10,9499999999999993;3,1166666666666667;11;3;TRUE;TRUE
645;2024-12-28T14:15:00Z;2024-12-28;15:15:00;2024;12;Dec;Winter;915;15;15;Tata Steel IJmuiden B.V. (WB2) Warmbandwalserij 2;Warmbandwalserij 2;Rookgas;2 m3;"Melk Nr. 325864 ROOKEMISSIE Melding afgesloten 30-12-2024 16:25 Waarneming Uit de schoorsteen van Oven 23 en 24 was om 15:15 uitgevoerd, oorzaak bekend (t.k.a.) een rookpluim te zien. Dit teruggezien op de camera. Oorzaak Nog niet bekend. Update 30-12 : 30-12-2024: Uit de eerste analyse blijkt het volgende: het betreft hier geen rookemissie, maar waterdamp. Door de laaghangende zon lijkt de damp donker op het camerabeeld. De rook is nl. niet direct zichtbaar na het verlaten van de schoorsteen, maar ""ontstaat"" iets boven de schoorsteen. Door de relatief koude omstandigheden en de hoge luchtvochtigheid condenseert het rookgas eerder. Bedrijfsomstandigheden: de temperatuur van de ovens was vrij laag (oven 23 was 173°C en oven 24 was 141°C), omdat de ovens enige tijd afgeregeld waren in verband met stilstand. Er zijn geen afwijkingen in zuurstofpercentage geconstateerd Maatregel In onderzoek. Update 30-12 : 30-12-2024: op basis van de bovengenoemde oorzaak lijken vooralsnog geen maatregelen noodzakelijk. Doorgegeven aan: om : 15.47";08:48:00;16:36:00;528;996;7,80000000000000;TRUE;FALSE;6,4500000000000002;-1,3500000000000001;6;-1;FALSE;TRUE
646;2024-12-27T13:35:00Z;2024-12-27;14:35:00;2024;12;Dec;Winter;875;14;35;Tata Steel IJmuiden B.V. (GSL) Grondstoffenlogistiek;Grondstoffenlogistiek;Pelletstof;0 kg;Melknr. 325860 - MILIEU INSTALLATIE UIT BEDRIJF (OVERIGE) Melding afgesloten 09-01-2025 22:32 Waarneming Nevel installatie Pellet uitgevoerd, oorzaak bekend (t.k.a.) fabriek uit bedrijf. Oorzaak Door de lage buiten temperatuur is de installatie in vorstbeveiliging gegaan. Maatregel De nevel installatie van de Pellet fabriek zelf staat aan. Aanvulling 10-1:Update: systeem op 29-12 weer in bedrijf genomen Telefonisch contact Na 10 minuten nog niemand aan de lijn gehad.;08:48:00;16:35:00;528;995;7,78333333333333;TRUE;FALSE;5,7833333333333332;-2,0000000000000000;6;-2;FALSE;TRUE
647;2024-12-27T14:41:00Z;2024-12-27;15:41:00;2024;12;Dec;Winter;941;15;41;Tata Steel IJmuiden B.V. (GSL) Grondstoffenlogistiek;Grondstoffenlogistiek;Kooksstof;1 kg;Melknr. 325861 - MILIEU INSTALLATIE UIT BEDRIJF (OVERIGE) Melding afgesloten 09-01-2025 22:33 Waarneming Nevel installatie uitgevoerd, oorzaak bekend (t.k.a.) autoverlading Kooksfabriek 1 uit bedrijf. Oorzaak Door de lage buiten temperatuur is de installatie in vorst beveiliging gegaan. Maatregel De blustijden van de blus torens zijn met een seconde verhoogd. 29-12 aanvulling: temperatuur is weer >4grC waardoor milieuinstallatie weer bij staat. Telefonisch contact Na 10 minuten nog niemand aan de lijn gehad.;08:48:00;16:35:00;528;995;7,78333333333333;TRUE;FALSE;6,8833333333333337;-0,9000000000000000;7;-1;FALSE;TRUE
648;2024-12-25T00:31:00Z;2024-12-25;01:31:00;2024;12;Dec;Winter;91;1;31;Tata Steel IJmuiden B.V. (Pefa) Pelletfabriek;Pelletfabriek;IJzer (poeder);5 kg;Melk Nr. 325855 ONGEWOON VOORVAL MET MOGELIJKE MILIEUGEVOLGEN Melding afgesloten 11-06-2025 07:46 Waarneming Kogelmolen 1131 in explosiegevaar gevallen. Update 10-01-2025 : Oorzaak Oxygas gasbrander gefaald in fase 2 lektest. Maatregel Brander uit bedrijf genomen, melding gemaakt om oorzaak te achterhalen. Zoekende naar oorzaak. RvO 10-1: Gasslot lekt door, staat sinds 26-12 veiliggesteld. Gasslot dient gespoeld en uitgebouwd te worden. Update 13-02-2025 : Slot wordt uitgebouwd op 18-02. Update 31-03-2025 : RvO 11-03: Vandaag wordt de gehele oxygasleiding gespoeld. Update 11-06-2025: RvO update 11-06, gasslot is nog niet teruggekomen van firma. Ondertussen is de gehele straat gespoeld en met het gereviseerde slot is de lektest weer in orde zijn. Deze melding daarom afgesloten. Doorgegeven aan: om: 01:49;08:48:00;16:33:00;528;993;7,75000000000000;FALSE;TRUE;-7,2833333333333332;-15,0333333333333332;-7;-15;FALSE;TRUE
649;2024-12-25T20:00:00Z;2024-12-25;21:00:00;2024;12;Dec;Winter;1260;21;0;Tata Steel IJmuiden B.V. (HOO) Hoogovens;Hoogovens;Rook;0 m3;Voormelding NVD: omstreeks 21:00 uur telefonisch contact geweest via DBB Waarneming: Na brandmelding computerruimte HO7, uitgevoerd, oorzaak bekend (t.k.a.) brandweer ter plaatse geweest voor onderzoek. Doorgebrande trafo gevonden, deze uitgeschakeld en veiliggesteld. Oorzaak: Doorgebrande trafo. Maatregel: Er zijn geen milieu effecten waargenomen. Melding afgesloten 25-12-2024 21:27;08:48:00;16:33:00;528;993;7,75000000000000;FALSE;TRUE;12,1999999999999993;4,4500000000000002;12;4;FALSE;FALSE
650;2024-12-24T08:59:00Z;2024-12-24;09:59:00;2024;12;Dec;Winter;599;9;59;Tata Steel IJmuiden B.V. (sifa) Sinterfabriek;Sinterfabriek;Sinterstof;0 kg;Melknummer: 325851 MILIEU INSTALLATIE UIT BEDRIJF Melding afgesloten 06-01-2025 07:54 Melding nog in behandeling Waarneming 06- uitgevoerd, oorzaak bekend (t.k.a.) 01-2025, aanvulling, 07:54 uur Elektrofilter 42 uitgevallen op temperatuur inlaat laag. Geen gevolgen. Oorzaak Inlaat temperatuur te laag. Maatregel Machine in bedrijf nemen nadat de tijdblokkering afgelopen is.;08:47:00;16:32:00;527;992;7,75000000000000;TRUE;FALSE;1,2000000000000000;-6,5499999999999998;1;-7;FALSE;TRUE
